Article No,Document link ,Article name ,Author ,Publicaiton Year,Paper type ,Studies Paper ID,,,,
1,https://doi.org/10.1016/j.infsof.2023.107189,Application of Project-Based Learning to a Software Engineering course in a hybrid class environment,"C.-V. Edgar, C.-B. Carlos and D. Dhimitraq",2023,,S1,,1. Ugyen Lhatshok,13,1 to 13
2,https://doi.org/10.1016/j.jss.2018.08.060,Designing and Implementing an Environment for Software Start-up Education: Patterns and Anti-patterns,"F. Fabian, H. Arto, L. Matti, K. Kati, Y. Sezin and M. Hanna",2018,,S2,,2. Thinley Dema,15,14 to 28
3,https://doi.org/10.1016/j.jss.2021.111183,“The State of Research on Software Engineering Competencies: A Systematic Mapping Study”,"A. Nana, G. Hadi and P. Mirja",2022,,S3,,3. Pema Gyamtsho,19,29 to 47
4,https://doi.org/10.1016/j.jss.2020.110736,Exploring the Intersection Between Software Industry and Software Engineering Education - A Systematic Mapping of Software Engineering Trends,"C. Orges, J. Letizia, N.-D. Anh and Z. He",2021,,S4,,4. Thinley Rabgay,14,48 to 61
5,https://doi.org/10.1007/s10639-020-10291-4,A Software Architecture Perspective About Moodle Flexibility for Supporting Empirical Research of Teaching Theories,"M. Campo, A. Amandi and J. C. Biset",2021,,S5,,5. Zhijia Ren,22,62 to 83
6,https://doi.org/10.1016/j.jss.2010.06.013,CLPL: Providing software infrastructure for the systematic and effective construction of complex collaborative learning systems,C. Santi and X. Fatos,2010,,S6,,,,
7,https://doi.org/10.1016/j.jss.2017.01.029,Designing and applying an approach to software architecting in agile projects in education,S. Angelov and P,2017,,S7,,,,
8,https://doi.org/10.1016/j.jss.2018.07.010,Collaborative and teamwork software development in an undergraduate software engineering course,R. Claudia and Francesca,2018,,S8,,,,
9,https://doi.org/10.1016/j.jss.2015.10.022,Towards better Scrum learning using learning styles,"S. Ezequiel, R. Guillermo, S. Álvaro and C. Marcelo",2016,,S9,,,,
10,https://doi.org/10.1016/j.jss.2012.01.060,Balancing software engineering education and industrial needs,"M. M. Ana, S.-S. Maria-Isabel, M.-D. Fuensanta and C. Laura",2012,,S10,,,,
11,https://doi.org/10.1016/j.jss.2018.03.065,Gamification in software engineering education: A systematic mapping,M. A. Manal and M. M. Ana,2018,,S11,,,,
12,https://doi.org/10.1016/j.jss.2018.07.008,On a pursuit for perfecting an undergraduate requirements engineering course,"R. R. Chandan, H. Mark, M. Sriram, C. Stephen and S. Amanda",2018,,S12,,,,
13,https://doi.org/10.1016/j.jss.2019.06.044,Aligning software engineering education with industrial needs: A meta-analysis,"G. Vahid, G. Görkem, T. Eray, C. Cagatay and F. Michael",2019,,S13,,,,
14,https://doi.org/10.1145/3643660.3643943,Teaching Software Architecture Design- Building Intution,"Gaurav Agerwala
Len Bass",2024,,S14,,,,
